Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Type
17/11/2017 16:37:05.325,0.117187,0.244141,0.351562,0.12207,0.43457,1.201172,2
17/11/2017 16:37:06.325,0.117187,0.244141,0.351562,0.12207,0.429687,1.191406,2
17/11/2017 16:37:07.324,0.117187,0.239258,0.34668,0.12207,0.429687,1.181641,2
17/11/2017 16:37:08.323,0.117187,0.239258,0.34668,0.12207,0.429687,1.171875,2
17/11/2017 16:37:09.324,0.117187,0.234375,0.341797,0.117187,0.424805,1.166992,2
17/11/2017 16:37:10.325,0.117187,0.234375,0.341797,0.117187,0.424805,1.157227,2
17/11/2017 16:37:11.325,0.117187,0.229492,0.336914,0.117187,0.424805,1.147461,2
17/11/2017 16:37:12.325,0.112305,0.229492,0.336914,0.117187,0.424805,1.137695,2
17/11/2017 16:37:13.329,0.112305,0.229492,0.332031,0.117187,0.419922,1.12793,2
17/11/2017 16:37:14.327,0.112305,0.224609,0.332031,0.117187,0.419922,1.123047,2
17/11/2017 16:37:15.326,0.112305,0.224609,0.327148,0.117187,0.419922,1.113281,2
17/11/2017 16:37:16.326,0.112305,0.224609,0.327148,0.117187,0.419922,1.103516,2
17/11/2017 16:37:17.329,0.112305,0.219727,0.322266,0.117187,0.419922,1.098633,2
17/11/2017 16:37:18.328,0.112305,0.219727,0.322266,0.117187,0.419922,1.088867,2
17/11/2017 16:37:19.328,0.112305,0.219727,0.317383,0.117187,0.415039,1.079102,2
17/11/2017 16:37:20.327,0.112305,0.214844,0.317383,0.117187,0.415039,1.074219,2
17/11/2017 16:37:21.332,0.112305,0.214844,0.317383,0.117187,0.415039,1.069336,2
17/11/2017 16:37:22.331,0.112305,0.214844,0.3125,0.117187,0.415039,1.05957,2
17/11/2017 16:37:23.330,0.112305,0.209961,0.3125,0.117187,0.410156,1.054687,2
17/11/2017 16:37:24.329,0.112305,0.209961,0.3125,0.117187,0.410156,1.049805,2
17/11/2017 16:37:25.329,0.112305,0.209961,0.307617,0.117187,0.410156,1.044922,2
17/11/2017 16:37:26.328,0.112305,0.209961,0.307617,0.117187,0.410156,1.035156,2
